Threads, Input type, Strategy, Execution time
0, 0, 0, 0.1
4, 0, 1, 1
4, 0, 2, 0.9
4, 0, 3, 0.7
4, 0, 4, 27.6

0, 1, 0, 20.4
1, 1, 1, 23.3
2, 1, 1, 20.3
4, 1, 1, 22
8, 1, 1, 33.2
16, 1, 1, 35.6
1, 1, 2, 23.2
2, 1, 2, 19
4, 1, 2, 22
8, 1, 2, 31.8
16, 1, 2, 38.7
1, 1, 3, 24.9
2, 1, 3, 22.5
4, 1, 3, 29.1
8, 1, 3, 50.8
16, 1, 3, 59.5
1, 1, 4, 86.3
2, 1, 4, 84.3
4, 1, 4, 82
8, 1, 4, 91.2
16, 1, 4, 111.2

0, 2, 0, 5.3
1, 2, 1, 5.6
2, 2, 1, 7.2
4, 2, 1, 8
8, 2, 1, 10.4
16, 2, 1, 9.8
1, 2, 2, 1
2, 2, 2, 1
4, 2, 2, 1.1
8, 2, 2, 1.3
16, 2, 2, 2.8
1, 2, 3, 6.2
2, 2, 3, 8.3
4, 2, 3, 9.6
8, 2, 3, 11.5
16, 2, 3, 15.8
1, 2, 4, 42.3
2, 2, 4, 49.6
4, 2, 4, 55.9
8, 2, 4, 67
16, 2, 4, 84

0, 3, 0, 5.2
1, 3, 1, 5.7
2, 3, 1, 7.4
4, 3, 1, 9.1
8, 3, 1, 11.2
16, 3, 1, 17.3
1, 3, 2, 5.8
2, 3, 2, 7.7
4, 3, 2, 9.4
8, 3, 2, 11.8
16, 3, 2, 13
1, 3, 3, 6.3
2, 3, 3, 8.6
4, 3, 3, 8.7
8, 3, 3, 9.9
16, 3, 3, 11.4
1, 3, 4, 42.6
2, 3, 4, 51
4, 3, 4, 55.7
8, 3, 4, 65.4
16, 3, 4, 84.8
